flight_id,received_at,rssi,SYS,SRC,SEQ,St,ALT,Max,G,Pg,T,Batt,MET,Vel,Gmx,Gmn,Wmx,Gyx,Gyy,Gyz,Mgx,Mgy,Mgz
2026-08-25-F1,2026-08-25T21:04:06.842Z,-83,7,1,470,2,678,772,1.7,10.4,29.7,4.14,12,-25.0,1.7,1.7,131.0,,,,,,
2026-08-25-F1,2026-08-25T21:04:06.944Z,-80,7,1,471,2,676,772,1.6,10.4,29.7,4.14,12,-25.0,1.8,1.6,113.3,,,,,,
2026-08-25-F1,2026-08-25T21:04:07.027Z,-79,7,1,472,2,674,772,1.2,10.4,29.7,4.14,12,-24.3,1.2,1.1,93.8,,,,,,
2026-08-25-F1,2026-08-25T21:04:07.134Z,-79,7,1,473,2,671,772,1.3,10.4,29.7,4.14,12,-25.3,1.3,1.2,115.1,,,,,,
2026-08-25-F1,2026-08-25T21:04:07.101Z,-78,7,1,474,2,668,772,1.2,10.4,29.7,4.14,12,-25.3,1.2,1.1,133.5,,,,,,
2026-08-25-F1,2026-08-25T21:04:07.203Z,-79,7,1,475,2,665,772,1.3,10.4,29.7,4.14,13,-27.3,1.3,1.2,210.2,,,,,,
2026-08-25-F1,2026-08-25T21:04:07.306Z,-81,7,1,476,2,662,772,1.4,10.4,29.7,4.14,13,-28.7,1.4,1.4,294.9,,,,,,
2026-08-25-F1,2026-08-25T21:04:07.408Z,-83,7,1,477,2,659,772,1.4,10.4,29.7,4.14,13,-28.4,1.5,1.4,291.1,,,,,,
2026-08-25-F1,2026-08-25T21:04:07.510Z,-84,7,1,478,2,657,772,2.0,10.4,29.7,4.15,13,-25.1,2.0,1.6,264.2,,,,,,
2026-08-25-F1,2026-08-25T21:04:07.593Z,-81,7,1,479,2,655,772,1.5,10.4,29.7,4.14,13,-23.1,1.8,1.5,297.5,,,,,,
2026-08-25-F1,2026-08-25T21:04:07.695Z,-78,7,1,480,2,653,772,1.5,10.4,29.7,4.14,13,-22.5,1.5,1.3,289.0,,,,,,
2026-08-25-F1,2026-08-25T21:04:07.797Z,-78,7,1,481,2,651,772,2.2,10.4,29.7,4.15,13,-23.8,2.2,1.9,272.5,,,,,,
2026-08-25-F1,2026-08-25T21:04:07.900Z,-78,7,1,482,2,648,772,1.7,10.4,29.7,4.15,13,-25.8,2.1,1.7,279.9,,,,,,
2026-08-25-F1,2026-08-25T21:04:08.002Z,-82,7,1,483,2,645,772,1.3,10.4,29.7,4.15,13,-24.6,1.4,1.3,293.5,,,,,,
2026-08-25-F1,2026-08-25T21:04:08.106Z,-84,7,1,484,2,643,772,1.3,10.4,29.7,4.14,13,-24.4,1.3,1.2,263.0,,,,,,
2026-08-25-F1,2026-08-25T21:04:08.210Z,-83,7,1,485,2,640,772,1.0,10.4,29.7,4.14,14,-26.2,1.4,1.0,257.6,,,,,,
2026-08-25-F1,2026-08-25T21:04:08.313Z,-81,7,1,486,2,637,772,1.2,10.4,29.7,4.14,14,-27.6,1.2,0.9,281.9,,,,,,
2026-08-25-F1,2026-08-25T21:04:08.417Z,-81,7,1,487,2,634,772,1.6,10.4,29.7,4.14,14,-27.9,1.6,1.4,275.1,,,,,,
